V1	V2	V3	Iv1	Time
1	0.00224495	0.00224495	-197.172	0.197613
1	0.00224495	0.00224495	-197.176	0.197617
1	0.00224495	0.00224495	-197.181	0.197622
1	0.00224495	0.00224495	-197.185	0.197626
1	0.00224495	0.00224495	-197.19	0.197631
1	0.00224495	0.00224495	-197.194	0.197635
1	0.00224495	0.00224495	-197.199	0.19764
1	0.00224495	0.00224495	-197.203	0.197644
1	0.00224495	0.00224495	-197.208	0.197649
1	0.00224495	0.00224495	-197.212	0.197653
1	0.00224495	0.00224495	-197.217	0.197658
1	0.00224495	0.00224495	-197.221	0.197662
1	0.00224495	0.00224495	-197.225	0.197667
1	0.00224495	0.00224495	-197.23	0.197671
1	0.00224495	0.00224495	-197.234	0.197676
1	0.00224495	0.00224495	-197.239	0.19768
1	0.00224495	0.00224495	-197.243	0.197685
1	0.00224495	0.00224495	-197.248	0.197689
1	0.00224495	0.00224495	-197.252	0.197694
1	0.00224495	0.00224495	-197.257	0.197698
1	0.00224495	0.00224495	-197.261	0.197703
1	0.00224495	0.00224495	-197.266	0.197707
1	0.00224495	0.00224495	-197.27	0.197712
1	0.00224495	0.00224495	-197.275	0.197716
1	0.00224495	0.00224495	-197.279	0.197721
1	0.00224495	0.00224495	-197.284	0.197725
1	0.00224495	0.00224495	-197.288	0.19773
1	0.00224495	0.00224495	-197.293	0.197734
1	0.00224495	0.00224495	-197.297	0.197739
1	0.00224495	0.00224495	-197.302	0.197743
1	0.00224495	0.00224495	-197.306	0.197748
1	0.00224495	0.00224495	-197.311	0.197752
1	0.00224495	0.00224495	-197.315	0.197757
1	0.00224495	0.00224495	-197.32	0.197761
1	0.00224495	0.00224495	-197.324	0.197766
1	0.00224495	0.00224495	-197.329	0.19777
1	0.00224495	0.00224495	-197.333	0.197775
1	0.00224495	0.00224495	-197.338	0.197779
1	0.00224495	0.00224495	-197.342	0.197784
1	0.00224495	0.00224495	-197.347	0.197788
1	0.00224495	0.00224495	-197.351	0.197793
1	0.00224495	0.00224495	-197.356	0.197797
1	0.00224495	0.00224495	-197.36	0.197802
1	0.00224495	0.00224495	-197.365	0.197806
1	0.00224495	0.00224495	-197.369	0.197811
1	0.00224495	0.00224495	-197.374	0.197815
1	0.00224495	0.00224495	-197.378	0.19782
1	0.00224495	0.00224495	-197.383	0.197824
1	0.00224495	0.00224495	-197.387	0.197829
1	0.00224495	0.00224495	-197.392	0.197833
1	0.00224495	0.00224495	-197.396	0.197838
1	0.00224495	0.00224495	-197.401	0.197842
1	0.00224495	0.00224495	-197.405	0.197847
1	0.00224495	0.00224495	-197.41	0.197851
1	0.00224495	0.00224495	-197.414	0.197856
1	0.00224495	0.00224495	-197.419	0.19786
1	0.00224495	0.00224495	-197.423	0.197865
1	0.00224495	0.00224495	-197.428	0.197869
1	0.00224495	0.00224495	-197.432	0.197874
1	0.00224495	0.00224495	-197.437	0.197878
1	0.00224495	0.00224495	-197.441	0.197883
1	0.00224495	0.00224495	-197.446	0.197887
1	0.00224495	0.00224495	-197.45	0.197892
1	0.00224495	0.00224495	-197.454	0.197896
1	0.00224495	0.00224495	-197.459	0.197901
1	0.00224495	0.00224495	-197.463	0.197905
1	0.00224495	0.00224495	-197.468	0.19791
1	0.00224495	0.00224495	-197.472	0.197914
1	0.00224495	0.00224495	-197.477	0.197919
1	0.00224495	0.00224495	-197.481	0.197923
1	0.00224495	0.00224495	-197.486	0.197928
1	0.00224495	0.00224495	-197.49	0.197932
1	0.00224495	0.00224495	-197.495	0.197937
1	0.00224495	0.00224495	-197.499	0.197941
1	0.00224495	0.00224495	-197.504	0.197946
1	0.00224495	0.00224495	-197.508	0.19795
1	0.00224495	0.00224495	-197.513	0.197955
1	0.00224495	0.00224495	-197.517	0.197959
1	0.00224495	0.00224495	-197.522	0.197964
1	0.00224495	0.00224495	-197.526	0.197968
1	0.00224495	0.00224495	-197.531	0.197973
