Time	Iv
0.000506	0.0639015
0.000507	0.0643867
0.000508	0.0648727
0.000509	0.0653595
0.00051	0.0658472
0.000511	0.0663356
0.000512	0.0668249
0.000513	0.067315
0.000514	0.0678059
0.000515	0.0682976
0.000516	0.0687901
0.000517	0.0692834
0.000519	0.069266
0.00052	0.0692487
0.000521	0.0692314
0.000522	0.0692141
0.000523	0.0691968
0.000524	0.0691795
0.000525	0.0691622
0.000526	0.069145
0.000527	0.0691277
0.000528	0.0691104
0.000529	0.0690931
0.00053	0.0690759
0.000531	0.0690586
0.000532	0.0690413
0.000533	0.0690241
0.000534	0.0690068
0.000535	0.0689896
0.000536	0.0689723
0.000537	0.0689551
0.000538	0.0689379
0.000539	0.0689206
0.00054	0.0689034
0.000541	0.0688862
0.000542	0.068869
0.000543	0.0688517
0.000544	0.0688345
0.000545	0.0688173
0.000546	0.0688001
0.000547	0.0687829
0.000548	0.0687657
0.000549	0.0687486
0.00055	0.0687314
0.000551	0.0687142
0.000552	0.068697
0.000553	0.0686799
0.000554	0.0686627
0.000555	0.0686455
0.000556	0.0686284
0.000557	0.0686112
0.000558	0.0685941
0.000559	0.0685769
0.00056	0.0685598
0.000561	0.0685426
0.000562	0.0685255
0.000563	0.0685084
0.000564	0.0684913
0.000565	0.0684741
0.000566	0.068457
0.000567	0.0684399
0.000568	0.0684228
0.000569	0.0684057
0.000571	0.068953
0.000572	0.069501
0.000573	0.0700499
0.000574	0.0705995
0.000575	0.0711499
0.000576	0.0717011
0.000577	0.0722531
0.000578	0.0728059
0.000579	0.0733595
0.00058	0.0739139
0.000581	0.074469
0.000582	0.075025
0.000583	0.0755817
0.000584	0.0761392
0.000585	0.0766975
0.000586	0.0772566
0.000587	0.0778164
0.000588	0.0783771
0.000589	0.0789385
0.00059	0.0795007
0.000591	0.0800637
0.000592	0.0806275
0.000593	0.081192
0.000594	0.0817573
0.000595	0.0823234
0.000596	0.0828903
0.000597	0.0834579
0.000598	0.0840263
0.000599	0.0845955
0.0006	0.0851655
0.000601	0.0857362
0.000602	0.0863077
0.000603	0.08688
0.000604	0.087453
0.000605	0.0880268
0.000606	0.0886014
0.000607	0.0891767
0.000608	0.0897529
0.000609	0.0903297
0.00061	0.0909074
0.000611	0.0914858
0.000612	0.092065
0.000613	0.0926449
0.000614	0.0932256
0.000615	0.093807
0.000616	0.0943892
0.000617	0.0949722
0.000618	0.0955559
0.000619	0.0961404
0.00062	0.0967257
0.000621	0.0973117
0.000623	0.0972874
0.000624	0.097263
0.000625	0.0972387
0.000626	0.0972144
0.000627	0.0971901
0.000628	0.0971658
0.000629	0.0971416
0.00063	0.0971173
0.000631	0.097093
0.000632	0.0970687
0.000633	0.0970445
0.000634	0.0970202
0.000635	0.096996
0.000636	0.0969717
0.000637	0.0969475
0.000638	0.0969233
0.000639	0.096899
0.00064	0.0968748
0.000641	0.0968506
0.000642	0.0968264
0.000643	0.0968022
0.000644	0.096778
0.000645	0.0967538
0.000646	0.0967296
0.000647	0.0967055
0.000648	0.0966813
0.000649	0.0966571
0.00065	0.096633
0.000651	0.0966088
0.000652	0.0965847
0.000653	0.0965605
0.000654	0.0965364
0.000655	0.0965123
0.000656	0.0964881
0.000657	0.096464
0.000658	0.0964399
0.000659	0.0964158
0.00066	0.0963917
0.000661	0.0963676
0.000662	0.0963435
0.000663	0.0963195
0.000664	0.0962954
0.000665	0.0962713
0.000666	0.0962473
0.000667	0.0962232
0.000668	0.0961991
0.000669	0.0961751
0.00067	0.0961511
0.000671	0.096127
0.000672	0.096103
0.000673	0.096079
0.000675	0.0967189
0.000676	0.0973596
0.000677	0.0980011
0.000678	0.0986433
0.000679	0.0992862
0.00068	0.0999298
0.000681	0.100574
0.000682	0.101219
0.000683	0.101865
0.000684	0.102512
0.000685	0.103159
0.000686	0.103807
0.000687	0.104456
0.000688	0.105106
0.000689	0.105756
0.00069	0.106407
0.000691	0.107059
0.000692	0.107711
0.000693	0.108364
0.000694	0.109018
0.000695	0.109673
0.000696	0.110328
0.000697	0.110984
0.000698	0.111641
0.000699	0.112299
0.0007	0.112957
0.000701	0.113616
0.000702	0.114276
0.000703	0.114936
0.000704	0.115597
0.000705	0.116259
0.000706	0.116922
0.000707	0.117585
0.000708	0.118249
0.000709	0.118914
